term_str,n,p,i,n_chars,porter_stem,stop,max_pos,max_pos_group
split,1,9.94965474698028e-06,16.616922104317258,5,split,False,VBN,v
spoil,1,9.94965474698028e-06,16.616922104317258,5,spoil,False,VB,v
spoiled,2,1.989930949396056e-05,15.61692210431726,7,spoil,False,VBD,v
spoke,2,1.989930949396056e-05,15.61692210431726,5,spoke,False,NN,n
spokesman,1,9.94965474698028e-06,16.616922104317258,9,spokesman,False,NN,n
sponge,3,2.984896424094084e-05,15.031959603596103,6,spong,False,JJ,j
sponsor,1,9.94965474698028e-06,16.616922104317258,7,sponsor,False,NN,n
spore,1,9.94965474698028e-06,16.616922104317258,5,spore,False,NN,n
spores,8,7.959723797584224e-05,13.61692210431726,6,spore,False,NNS,n
sport,1,9.94965474698028e-06,16.616922104317258,5,sport,False,NN,n
sports,2,1.989930949396056e-05,15.61692210431726,6,sport,False,NNS,n
spot,3,2.984896424094084e-05,15.031959603596103,4,spot,False,NN,n
spotlighted,1,9.94965474698028e-06,16.616922104317258,11,spotlight,False,VBN,v
spots,1,9.94965474698028e-06,16.616922104317258,5,spot,False,NNS,n
spotter,1,9.94965474698028e-06,16.616922104317258,7,spotter,False,NN,n
spotting,1,9.94965474698028e-06,16.616922104317258,8,spot,False,VBG,v
spread,2,1.989930949396056e-05,15.61692210431726,6,spread,False,NN,n
spreading,2,1.989930949396056e-05,15.61692210431726,9,spread,False,VBG,v
spring,14,0.0001392951664577239,12.809567182259656,6,spring,False,NN,n
springloaded,1,9.94965474698028e-06,16.616922104317258,12,springload,False,JJ,j
springs,2,1.989930949396056e-05,15.61692210431726,7,spring,False,NNS,n
springtime,2,1.989930949396056e-05,15.61692210431726,10,springtim,False,JJ,j
sprinkled,1,9.94965474698028e-06,16.616922104317258,9,sprinkl,False,VBD,v
sprites,3,2.984896424094084e-05,15.031959603596103,7,sprite,False,NNS,n
