term_str,PC0,PC1,PC2,PC3,PC4
agents,-9.260811473136898e-06,-1.6652504432408217e-05,-3.465533999120868e-05,0.00014786839378884208,5.6998877024992504e-06
ages,0.00019117515866231622,3.226754840632343e-05,9.191843534090803e-05,1.426921215926434e-05,-2.379042604084457e-05
agitated,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
ago,-2.980829378362606e-05,2.2818378543308916e-05,-2.2445596353301708e-05,-1.0738510873193529e-05,-1.118680403959754e-06
agree,-1.4215740760374927e-05,-2.462742612615482e-05,-3.289172490866506e-05,-3.0446565944905563e-05,9.996352817632381e-06
agreed,-1.4170092822860277e-05,-2.4368998313086198e-05,-3.0939408415133266e-05,-2.6313594630082207e-05,4.729163641934503e-06
agreement,-1.5856829111035153e-05,-2.7153865628235018e-05,-3.4792675586483276e-05,-3.059775080032518e-05,1.4773128298172499e-06
agricultural,-6.148609829199116e-06,-1.0383340289635737e-05,-1.2227400575356544e-05,-9.699178155078256e-06,1.1494490171502262e-06
agriculture,-2.459443931679762e-05,-4.153336115854492e-05,-4.890960230142851e-05,-3.879671262031485e-05,4.59779606860112e-06
ah,-0.0002727686391366478,-0.00025197300454507716,0.0008440139577714733,0.00038351606445253216,-0.0005282218111368409
aha,-6.758156667650127e-06,-1.173561085338378e-05,-1.2816040009493688e-05,-1.0806638821821616e-05,2.4031576469201507e-08
ahahaha,-5.642427208804352e-06,-9.974139249283243e-06,-1.2581648285484126e-05,-1.036648891901398e-05,-2.8113248700661777e-06
ahahahaha,-1.0310919426322938e-05,-2.2826063759448474e-05,0.00010879576173084651,1.4648052819501154e-05,-3.167533546792437e-05
ahead,-1.635810052577138e-05,-2.8214115629544904e-05,-4.145208886849503e-05,-9.818187677387813e-06,-2.67069306799591e-05
ahem,-6.758156667650127e-06,-1.173561085338378e-05,-1.2816040009493688e-05,-1.0806638821821616e-05,2.4031576469201507e-08
ahh,-0.00029620868574613973,-0.0006452267834518835,0.0028204124635566505,0.00030442900941645524,-0.0005396797744640815
ahha,-6.148609829199116e-06,-1.0383340289635737e-05,-1.2227400575356544e-05,-9.699178155078256e-06,1.1494490171502262e-06
ahhh,-9.621109862692986e-05,-0.00020628861619378114,0.0008481046855756594,8.83465038768536e-05,-0.0002524410049216937
ahhhh,-1.0310919426322938e-05,-2.2826063759448474e-05,0.00010879576173084651,1.4648052819501154e-05,-3.167533546792437e-05
ahhhn,-3.5973943436102904e-05,-5.7591339118923045e-05,-8.433743833099065e-05,-9.062603501320563e-05,2.3869117485365062e-05
ahm,-2.3982628957401547e-05,-3.83942260792814e-05,-5.6224958887326e-05,-6.0417356675469624e-05,1.591274499024311e-05
ahoy,0.0008087521308021022,0.0001997626344554019,4.759404271865575e-05,1.4111865795788491e-05,-1.7682339390927557e-06
ai,-1.417942135889471e-05,-2.3621533642267846e-05,-2.959103922410855e-05,-1.8281821630789372e-05,2.052638115132041e-06
aid,-1.0310919426322938e-05,-2.2826063759448474e-05,0.00010879576173084651,1.4648052819501154e-05,-3.167533546792437e-05
aileron,-6.933013497566917e-06,-1.126901311688474e-05,-1.567677891901629e-05,-5.3955815789465e-06,4.849045299734206e-07
aim,-9.272507051955668e-06,-1.566364827447067e-05,-2.083636443835738e-05,-1.1622170010447936e-05,-1.7153871194661645e-06
aimed,-5.642427208804352e-06,-9.974139249283243e-06,-1.2581648285484126e-05,-1.036648891901398e-05,-2.8113248700661777e-06
aiming,-9.272507051955668e-06,-1.566364827447067e-05,-2.083636443835738e-05,-1.1622170010447936e-05,-1.7153871194661645e-06
air,-6.586842056631437e-05,-0.00011382168419344217,-9.472589429211014e-05,5.691182507384671e-05,-5.622590618046288e-05
airborne,-7.928414555517577e-06,-1.3576932814117509e-05,-1.7396337793241638e-05,-1.529887540016259e-05,7.386564149086249e-07
aircraft,-7.135573099965828e-05,-0.00012219239532705774,-0.0001565670401391749,-0.00013768987860146334,6.647907734177666e-06
airfield,-7.928414555517577e-06,-1.3576932814117509e-05,-1.7396337793241638e-05,-1.529887540016259e-05,7.386564149086249e-07
airframe,-7.928414555517577e-06,-1.3576932814117509e-05,-1.7396337793241638e-05,-1.529887540016259e-05,7.386564149086249e-07
airplane,-2.7028222495933122e-05,-4.494955163074142e-05,-6.033223619616639e-05,-3.449656953738055e-05,2.1619310438768604e-06
airplanes,-9.514097466621106e-05,-0.00016292319376941033,-0.00020875605351889994,-0.00018358650480195118,8.863876978903759e-06
airraid,-8.393920135090742e-05,-0.00013437979127748807,-0.00019678735610564554,-0.00021146074836414904,5.5694607465852095e-05
airraids,-1.1991314478700102e-05,-1.919711303963962e-05,-2.8112479443661385e-05,-3.0208678337733182e-05,7.956372495121113e-06
airs,-1.0978433049259357e-05,-1.944275736061192e-05,-2.7619580383368495e-05,-3.611142722184957e-05,-4.9443977622182136e-05
airship,-3.491661581579763e-05,-6.594573627043074e-05,-2.199191872563561e-05,0.0004469240642113284,-6.544563944430769e-06
airstrip,-7.928414555517577e-06,-1.3576932814117509e-05,-1.7396337793241638e-05,-1.529887540016259e-05,7.386564149086249e-07
aiuto,-4.1598080985407715e-05,-6.761407870131853e-05,-9.406067351411174e-05,-3.2373489473683776e-05,2.9094271798410043e-06
